56.5823 	EXP 	Stimuli: autoDraw = True
56.5823 	EXP 	Stimuli: height = 0.1
56.5823 	EXP 	Stimuli: height = 0.1
56.5823 	EXP 	Stimuli: height = 0.1
56.5823 	EXP 	Stimuli: text = '+'
56.7792 	EXP 	New trial (rep=0, index=30): OrderedDict([('stimuli', 'Z'), ('trial_type', 'target'), ('stimulus_onset', 55.8), ('block_type', '1-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'left')])
56.7985 	EXP 	Stimuli: autoDraw = False
56.7985 	EXP 	Stimuli: autoDraw = False
56.7985 	EXP 	Stimuli: height = 0.1
56.7985 	EXP 	Stimuli: height = 0.1
56.7985 	EXP 	Stimuli: height = 0.1
56.7985 	EXP 	Stimuli: text = 'Z'
56.7985 	EXP 	Stimuli: height = 0.3
56.7985 	EXP 	Stimuli: autoDraw = True
56.7985 	EXP 	Stimuli: height = 0.3
56.7985 	EXP 	Stimuli: height = 0.3
56.7985 	EXP 	Stimuli: height = 0.3
56.7985 	EXP 	Stimuli: text = 'Z'
57.0722 	DATA 	Keypress: escape
57.1617 	EXP 	run_experiment: status = STOPPED
57.1773 	EXP 	Stimuli: autoDraw = False
57.1774 	EXP 	run_experiment: status = STOPPED
